headline,url,date
From refugees to political footballs,https://www.theguardian.com/uk/2000/mar/30/immigration.immigrationandpublicservices1,2000-03-29
"South Asia is new hub for terrorists, US claims",https://www.theguardian.com/world/2000/may/01/terrorism,2000-05-01
Should the UN get out of Sierra Leone?,https://www.theguardian.com/world/2000/may/20/guardianreview.books7,2000-05-20
Should the UN get out of Sierra Leone?,https://www.theguardian.com/theguardian/2000/may/22/debate.sierraleone,2000-05-22
Russia threatens to bomb Afghan terror camps,https://www.theguardian.com/world/2000/may/25/chechnya.russia,2000-05-25
Libby Brooks and Raekha Prassad,https://www.theguardian.com/news/2000/jun/07/livechats,2000-06-07
Bomb bay,https://www.theguardian.com/books/2000/jun/17/politics,2000-06-17
The last word on   Tolerance,https://www.theguardian.com/books/2000/jul/01/books.guardianreview7,2000-07-01
Afghanistan intellectuals under threat,https://www.theguardian.com/world/2000/jul/06/rorymccarthy,2000-07-06
Just for laughs,https://www.theguardian.com/books/2000/jul/08/fiction.reviews,2000-07-08
In brief,https://www.theguardian.com/world/2000/jul/13/3,2000-07-13
Taliban send off footballers in shorts,https://www.theguardian.com/world/2000/jul/18/rorymccarthy,2000-07-17
The emperor strikes back. Helped by a cast of thousands,https://www.theguardian.com/theobserver/2000/jul/23/features.review47,2000-07-23
The world's worst air disasters,https://www.theguardian.com/uk/2000/jul/25/concorde.world,2000-07-25
Afghan warrior goes to ground in suburbia,https://www.theguardian.com/uk/2000/jul/28/stevenmorris,2000-07-28
Afghan leader refuses to give up Bin Laden to US,https://www.theguardian.com/world/2000/jul/28/terrorism,2000-07-28
Asylum seeker from hijack plane loses appeal,https://www.theguardian.com/uk/2000/jul/28/stansted.theairlineindustry,2000-07-28
Afghan on hijack plane wins asylum,https://www.theguardian.com/uk/2000/aug/04/stansted.immigration,2000-08-04
Somalis ready to ditch the warlords for a working government,https://www.theguardian.com/world/2000/aug/12/3,2000-08-12
Mohamed al-Fayed criticised as he plans to invest in Cambodian oil,https://www.theguardian.com/uk/2000/aug/13/jasonburke.theobserver,2000-08-13
