word,count,GPE,date,article_index
U.S._2010-11-28_5513,18,U.S.,2010-11-28,5513
Afghanistan_2011-06-13_5917,18,Afghanistan,2011-06-13,5917
Israel_2007-08-07_3439,18,Israel,2007-08-07,3439
America_2001-09-21_569,18,America,2001-09-21,569
Iran_2010-11-28_5511,18,Iran,2010-11-28,5511
Qatar_2017-10-25_8277,18,Qatar,2017-10-25,8277
Iran_2016-02-03_7880,18,Iran,2016-02-03,7880
Pakistan_2015-10-21_7788,18,Pakistan,2015-10-21,7788
Pakistan_2010-12-01_5552,18,Pakistan,2010-12-01,5552
Pakistan_2019-07-05_8485,18,Pakistan,2019-07-05,8485
Iraq_2002-03-24_1852,18,Iraq,2002-03-24,1852
Iraq_2002-08-01_2011,18,Iraq,2002-08-01,2011
Iran_2006-03-13_2875,18,Iran,2006-03-13,2875
Israel_2010-11-28_5511,18,Israel,2010-11-28,5511
Afghanistan_2013-08-05_6877,18,Afghanistan,2013-08-05,6877
Pakistan_2009-03-29_4357,18,Pakistan,2009-03-29,4357
Hamburg_2010-10-07_5418,18,Hamburg,2010-10-07,5418
Pakistan_2010-12-16_5635,18,Pakistan,2010-12-16,5635
Kabul_2021-08-31_9308,18,Kabul,2021-08-31,9308
Pakistan_2010-12-01_5543,18,Pakistan,2010-12-01,5543
Iran_2001-05-10_314,18,Iran,2001-05-10,314
Afghanistan_2010-12-01_5543,18,Afghanistan,2010-12-01,5543
India_2011-10-05_6062,18,India,2011-10-05,6062
Somalia_2012-02-22_6213,18,Somalia,2012-02-22,6213
America_2013-05-23_6760,18,America,2013-05-23,6760
Afghanistan_2010-12-01_5547,18,Afghanistan,2010-12-01,5547
Pakistan_2001-11-01_1155,18,Pakistan,2001-11-01,1155
Pakistan_2008-02-15_3725,18,Pakistan,2008-02-15,3725
Afghanistan_2011-04-25_5812,18,Afghanistan,2011-04-25,5812
Karzai_2014-03-30_7125,18,Karzai,2014-03-30,7125
Iran_2016-05-23_7964,18,Iran,2016-05-23,7964
Afghanistan_2021-08-16_8983,18,Afghanistan,2021-08-16,8983
Pakistan_2000-11-17_215,17,Pakistan,2000-11-17,215
India_2010-12-16_5641,17,India,2010-12-16,5641
Pakistan_2002-02-13_1770,17,Pakistan,2002-02-13,1770
Afghanistan_2014-10-26_7422,17,Afghanistan,2014-10-26,7422
Iran_2003-05-30_2311,17,Iran,2003-05-30,2311
America_2007-01-24_3203,17,America,2007-01-24,3203
Karzai_2010-12-02_5568,17,Karzai,2010-12-02,5568
Australia_2021-08-19_9068,17,Australia,2021-08-19,9068
Syria_2010-11-28_5511,17,Syria,2010-11-28,5511
