word,count,FAC,date,article_index
White_2011-04-25_5803,1,White,2011-04-25,5803
Guantanamo_2011-04-25_5803,1,Guantanamo,2011-04-25,5803
Square_2011-04-23_5802,1,Square,2011-04-23,5802
Tahrir_2011-04-23_5802,1,Tahrir,2011-04-23,5802
Gilgit_2011-04-21_5801,1,Gilgit,2011-04-21,5801
Hotel_2011-04-21_5801,1,Hotel,2011-04-21,5801
Fort_2011-04-21_5801,1,Fort,2011-04-21,5801
Shigar_2011-04-21_5801,1,Shigar,2011-04-21,5801
Camp_2011-04-19_5799,1,Camp,2011-04-19,5799
Los_2011-04-19_5799,1,Los,2011-04-19,5799
Delta_2011-04-25_5805,1,Delta,2011-04-25,5805
Group_2011-04-08_5793,1,Group,2011-04-08,5793
Company_2011-04-08_5793,1,Company,2011-04-08,5793
Engineering_2011-04-08_5793,1,Engineering,2011-04-08,5793
Harbour_2011-04-08_5793,1,Harbour,2011-04-08,5793
China_2011-04-08_5793,1,China,2011-04-08,5793
Helmand_2011-04-02_5785,1,Helmand,2011-04-02,5785
Kabul_2011-04-02_5785,1,Kabul,2011-04-02,5785
Burma_2011-04-01_5782,1,Burma,2011-04-01,5782
Myanmar_2011-04-01_5782,1,Myanmar,2011-04-01,5782
Egypt_2011-03-27_5770,1,Egypt,2011-03-27,5770
Camp_2011-04-25_5805,1,Camp,2011-04-25,5805
Guantánamo_2011-04-25_5807,1,Guantánamo,2011-04-25,5807
Karachi_2011-04-25_5821,1,Karachi,2011-04-25,5821
Jones_2011-04-25_5815,1,Jones,2011-04-25,5815
Hamlili_2011-04-25_5821,1,Hamlili,2011-04-25,5821
Bay_2011-04-25_5821,1,Bay,2011-04-25,5821
Bay_2011-04-25_5819,1,Bay,2011-04-25,5819
Guantánamo_2011-04-25_5819,1,Guantánamo,2011-04-25,5819
Tower_2011-04-25_5817,1,Tower,2011-04-25,5817
Alcatraz_2011-04-25_5817,1,Alcatraz,2011-04-25,5817
Conservative_2011-04-25_5817,1,Conservative,2011-04-25,5817
Neave_2011-04-25_5817,1,Neave,2011-04-25,5817
Airey_2011-04-25_5817,1,Airey,2011-04-25,5817
Bay_2011-04-25_5816,1,Bay,2011-04-25,5816
Mother_2011-04-25_5815,1,Mother,2011-04-25,5815
Bay_2011-04-25_5807,1,Bay,2011-04-25,5807
tell_2011-04-25_5815,1,tell,2011-04-25,5815
Umarov_2011-04-25_5815,1,Umarov,2011-04-25,5815
America_2011-04-25_5815,1,America,2011-04-25,5815
Man_2011-04-25_5815,1,Man,2011-04-25,5815
Guardian_2011-04-25_5813,1,Guardian,2011-04-25,5813
Bay_2011-04-25_5813,1,Bay,2011-04-25,5813
Guantánamo_2011-04-25_5813,1,Guantánamo,2011-04-25,5813
Bay_2011-04-25_5808,1,Bay,2011-04-25,5808
Guantánamo_2011-04-25_5808,1,Guantánamo,2011-04-25,5808
Briefing_2011-04-25_5807,1,Briefing,2011-04-25,5807
Square_2011-06-23_5933,1,Square,2011-06-23,5933
Winston_2011-06-23_5933,1,Winston,2011-06-23,5933
Musa_2010-12-02_5572,1,Musa,2010-12-02,5572
Bay_2011-09-15_6037,1,Bay,2011-09-15,6037
Kandahar_2011-10-07_6064,1,Kandahar,2011-10-07,6064
Dix_2011-10-02_6056,1,Dix,2011-10-02,6056
York_2011-10-02_6056,1,York,2011-10-02,6056
New_2011-10-02_6056,1,New,2011-10-02,6056
Square_2011-10-02_6056,1,Square,2011-10-02,6056
Times_2011-10-02_6056,1,Times,2011-10-02,6056
Hood_2011-10-02_6056,1,Hood,2011-10-02,6056
Guantanamo_2011-09-28_6050,1,Guantanamo,2011-09-28,6050
Pakistan_2011-09-18_6039,1,Pakistan,2011-09-18,6039
Khan_2011-09-18_6039,1,Khan,2011-09-18,6039
Guantanamo_2011-09-15_6037,1,Guantanamo,2011-09-15,6037
Helmand_2011-10-07_6066,1,Helmand,2011-10-07,6066
hospital_2011-09-13_6032,1,hospital,2011-09-13,6032
Peshawar_2011-09-13_6032,1,Peshawar,2011-09-13,6032
Wardak_2011-09-11_6029,1,Wardak,2011-09-11,6029
Wazir_2011-09-06_6018,1,Wazir,2011-09-06,6018
Tohmas_2011-09-06_6018,1,Tohmas,2011-09-06,6018
Mir_2011-09-06_6018,1,Mir,2011-09-06,6018
Guantánamo_2011-09-06_6017,1,Guantánamo,2011-09-06,6017
Road_2011-08-19_6004,1,Road,2011-08-19,6004
House_2011-08-19_6004,1,House,2011-08-19,6004
Bleak_2011-08-19_6004,1,Bleak,2011-08-19,6004
Victory_2011-10-07_6064,1,Victory,2011-10-07,6064
Province_2011-10-07_6066,1,Province,2011-10-07,6066
Parwan_2011-08-19_6002,1,Parwan,2011-08-19,6002
Fire_2011-11-01_6094,1,Fire,2011-11-01,6094
series_2011-11-15_6107,1,series,2011-11-15,6107
Center_2011-11-15_6107,1,Center,2011-11-15,6107
Rock_2011-11-15_6107,1,Rock,2011-11-15,6107
Difference_2011-11-15_6107,1,Difference,2011-11-15,6107
Diary_2011-11-15_6107,1,Diary,2011-11-15,6107
Building_2011-11-06_6100,1,Building,2011-11-06,6100
State_2011-11-06_6100,1,State,2011-11-06,6100
Empire_2011-11-06_6100,1,Empire,2011-11-06,6100
Akhtar_2011-11-04_6099,1,Akhtar,2011-11-04,6099
London_2011-11-01_6094,1,London,2011-11-01,6094
Great_2011-11-01_6094,1,Great,2011-11-01,6094
Khyber_2011-10-09_6068,1,Khyber,2011-10-09,6068
Phoenix_2011-10-30_6093,1,Phoenix,2011-10-30,6093
Camp_2011-10-30_6093,1,Camp,2011-10-30,6093
Phoenix_2011-10-29_6092,1,Phoenix,2011-10-29,6092
Julien_2011-10-29_6092,1,Julien,2011-10-29,6092
stick_2011-10-27_6090,1,stick,2011-10-27,6090
Street_2011-10-14_6079,1,Street,2011-10-14,6079
Fleet_2011-10-14_6079,1,Fleet,2011-10-14,6079
Porton_2011-10-14_6079,1,Porton,2011-10-14,6079
Cellcrypt_2011-10-14_6079,1,Cellcrypt,2011-10-14,6079
Pass_2011-10-09_6068,1,Pass,2011-10-09,6068
minute_2011-08-19_6002,1,minute,2011-08-19,6002
Liverpool_2011-08-11_6000,1,Liverpool,2011-08-11,6000
Camp_2013-10-17_6941,1,Camp,2013-10-17,6941
Bastion_2011-07-04_5955,1,Bastion,2011-07-04,5955
Rohan_2011-07-10_5962,1,Rohan,2011-07-10,5962
Australia_2011-07-05_5959,1,Australia,2011-07-05,5959
South_2011-07-05_5959,1,South,2011-07-05,5959
Adelaide_2011-07-05_5959,1,Adelaide,2011-07-05,5959
Hewton_2011-07-05_5959,1,Hewton,2011-07-05,5959
Terence_2011-07-05_5959,1,Terence,2011-07-05,5959
Qaida_2011-07-04_5958,1,Qaida,2011-07-04,5958
Al_2011-07-04_5958,1,Al,2011-07-04,5958
Gah_2011-07-04_5955,1,Gah,2011-07-04,5955
Lashkar_2011-07-04_5955,1,Lashkar,2011-07-04,5955
Camp_2011-07-04_5955,1,Camp,2011-07-04,5955
Kandahar_2011-07-12_5967,1,Kandahar,2011-07-12,5967
Bay_2011-07-01_5953,1,Bay,2011-07-01,5953
Guantánamo_2011-07-01_5953,1,Guantánamo,2011-07-01,5953
Times_2011-06-30_5948,1,Times,2011-06-30,5948
Murdoch_2011-06-30_5948,1,Murdoch,2011-06-30,5948
Heathrow_2011-06-27_5944,1,Heathrow,2011-06-27,5944
Village_2011-06-23_5936,1,Village,2011-06-23,5936
Democracy_2011-06-23_5936,1,Democracy,2011-06-23,5936
Yard_2011-06-23_5936,1,Yard,2011-06-23,5936
Palace_2011-06-23_5936,1,Palace,2011-06-23,5936
New_2011-06-23_5936,1,New,2011-06-23,5936
Gunaratna_2011-07-10_5962,1,Gunaratna,2011-07-10,5962
Helmand_2011-07-12_5967,1,Helmand,2011-07-12,5967
Toxteth_2011-08-11_6000,1,Toxteth,2011-08-11,6000
Galactica_2011-07-24_5987,1,Galactica,2011-07-24,5987
Road_2011-08-11_6000,1,Road,2011-08-11,6000
Smithdown_2011-08-11_6000,1,Smithdown,2011-08-11,6000
Base_2011-08-10_5999,1,Base,2011-08-10,5999
Force_2011-08-10_5999,1,Force,2011-08-10,5999
Air_2011-08-10_5999,1,Air,2011-08-10,5999
Dover_2011-08-10_5999,1,Dover,2011-08-10,5999
Parachute_2011-08-08_5996,1,Parachute,2011-08-08,5996
Battalion_2011-08-08_5996,1,Battalion,2011-08-08,5996
